,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
0,Maruti,Maruti Wagon R,12,72000,CNG,First,37.24,998.0,58.16,175000.0
1,Hyundai,Hyundai Creta 1.6,7,41000,Diesel,First,19.6,1582.0,126.2,1250000.0
2,Honda,Honda Jazz V,11,46000,Petrol,First,18.0,1199.0,88.7,450000.0
3,Maruti,Maruti Ertiga VDI,10,87000,Diesel,First,20.7,1248.0,88.76,600000.0
4,Audi,Audi A4 New,9,40670,Diesel,Second,15.0,1968.0,140.8,1773999.9999999998
5,Hyundai,Hyundai EON LPG,10,75000,LPG,First,29.54,814.0,55.2,235000.0
6,Nissan,Nissan Micra Diesel,9,86999,Diesel,First,23.0,1461.0,63.1,350000.0
7,Toyota,Toyota Innova Crysta,6,36000,Diesel,First,11.3,2755.0,171.5,1750000.0
8,Volkswagen,Volkswagen Vento Diesel,9,64430,Diesel,First,20.5,1598.0,103.6,520000.0
9,Tata,Tata Indica Vista,10,65932,Diesel,Second,22.0,1248.0,74.0,195000.0
10,Maruti,Maruti Ciaz Zeta,4,25692,Petrol,First,21.5,1462.0,103.25,994999.9999999999
11,Honda,Honda City 1.5,10,60000,Petrol,First,16.0,1497.0,116.3,449000.0
12,Maruti,Maruti Swift VDI,7,64424,Diesel,First,25.0,1248.0,74.0,560000.0
13,Land,Land Rover Range,8,72000,Diesel,First,12.0,2179.0,187.7,2700000.0
14,Land,Land Rover Freelander,10,85000,Diesel,Second,0.0,2179.0,115.0,1750000.0
15,Mitsubishi,Mitsubishi Pajero Sport,8,110000,Diesel,First,13.0,2477.0,175.56,1500000.0
16,Honda,Honda Amaze S,6,58950,Diesel,First,25.0,1498.0,98.6,540000.0
17,Maruti,Maruti Swift DDiS,5,25000,Diesel,First,28.0,1248.0,74.0,599000.0
18,Renault,Renault Duster 85PS,8,77469,Diesel,First,20.4,1461.0,83.8,634000.0
19,Mercedes-Benz,Mercedes-Benz New C-Class,8,78500,Diesel,First,14.8,2143.0,167.62,2800000.0
20,BMW,BMW 3 Series,8,32982,Diesel,First,22.6,1995.0,190.0,1855000.0
21,Maruti,Maruti S Cross,7,55392,Diesel,Second,23.6,1248.0,88.5,825000.0
22,Audi,Audi A6 2011-2015,7,55985,Petrol,First,13.5,1984.0,177.01,2350000.0
23,Hyundai,Hyundai i20 1.2,12,45807,Petrol,First,18.0,1197.0,80.0,187000.0
24,Volkswagen,Volkswagen Vento Petrol,12,33000,Petrol,First,14.0,1598.0,103.6,285000.0
25,Honda,Honda City Corporate,10,51920,Petrol,First,16.0,1497.0,116.3,425000.0
26,Nissan,Nissan Micra Diesel,10,54000,Diesel,First,23.0,1461.0,63.1,425000.0
27,Maruti,Maruti Alto K10,9,54000,Petrol,Second,20.9,998.0,67.1,275000.0
28,Honda,Honda WRV i-VTEC,4,37430,Petrol,First,17.0,1199.0,88.7,990000.0
29,Toyota,Toyota Innova 2.5,15,262000,Diesel,Fourth & Above,12.0,2494.0,102.0,400000.0
30,Renault,Renault Duster 110PS,9,62000,Diesel,First,19.0,1461.0,108.45,775000.0
31,Toyota,Toyota Corolla Altis,10,87615,Petrol,First,14.5,1798.0,138.1,675000.0
32,Mahindra,Mahindra Ssangyong Rexton,9,72000,Diesel,Second,11.1,2696.0,184.0,1250000.0
33,Audi,Audi A6 2.7,12,35000,Diesel,First,12.0,2698.0,179.5,1150000.0
34,Volkswagen,Volkswagen Vento 1.6,8,55431,Petrol,Second,16.0,1598.0,103.5,698000.0
35,Maruti,Maruti Wagon R,13,83816,Petrol,Second,14.0,1061.0,64.0,185000.0
36,Maruti,Maruti Vitara Brezza,4,50075,Diesel,First,24.0,1248.0,88.5,863000.0000000001
37,Mahindra,Mahindra KUV 100,5,52000,Petrol,First,18.1,1198.0,82.0,484999.99999999994
38,Mercedes-Benz,Mercedes-Benz M-Class ML,9,85000,Diesel,First,11.7,2987.0,254.8,2800000.0
39,Volkswagen,Volkswagen Polo Diesel,9,62000,Diesel,First,22.0,1199.0,73.9,500000.0
40,Maruti,Maruti Alto LXi,14,90000,Petrol,Second,19.0,796.0,46.3,125000.0
41,Tata,Tata Nano LX,8,19698,Petrol,First,25.0,624.0,37.5,153000.0
42,Mahindra,Mahindra KUV 100,5,22033,Diesel,First,25.3,1198.0,77.0,558000.0
43,Hyundai,Hyundai i20 Magna,8,35487,Petrol,First,18.0,1197.0,82.9,474000.0
