,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
0,Maruti,Maruti Wagon R,2010,72000,CNG,First,26.6,998.0,58.16,175000.0
1,Hyundai,Hyundai Creta 1.6,2015,41000,Diesel,First,19.67,1582.0,126.2,1250000.0
2,Honda,Honda Jazz V,2011,46000,Petrol,First,18.2,1199.0,88.7,450000.0
3,Maruti,Maruti Ertiga VDI,2012,87000,Diesel,First,20.77,1248.0,88.76,600000.0
4,Audi,Audi A4 New,2013,40670,Diesel,Second,15.2,1968.0,140.8,1773999.9999999998
5,Hyundai,Hyundai EON LPG,2012,75000,LPG,First,21.1,814.0,55.2,235000.0
6,Nissan,Nissan Micra Diesel,2013,86999,Diesel,First,23.08,1461.0,63.1,350000.0
7,Toyota,Toyota Innova Crysta,2016,36000,Diesel,First,11.36,2755.0,171.5,1750000.0
8,Volkswagen,Volkswagen Vento Diesel,2013,64430,Diesel,First,20.54,1598.0,103.6,520000.0
9,Tata,Tata Indica Vista,2012,65932,Diesel,Second,22.3,1248.0,74.0,195000.0
10,Maruti,Maruti Ciaz Zeta,2018,25692,Petrol,First,21.56,1462.0,103.25,994999.9999999999
11,Honda,Honda City 1.5,2012,60000,Petrol,First,16.8,1497.0,116.3,449000.0
12,Maruti,Maruti Swift VDI,2015,64424,Diesel,First,25.2,1248.0,74.0,560000.0
13,Land,Land Rover Range,2014,72000,Diesel,First,12.7,2179.0,187.7,2700000.0
14,Land,Land Rover Freelander,2012,85000,Diesel,Second,0.0,2179.0,115.0,1750000.0
15,Mitsubishi,Mitsubishi Pajero Sport,2014,110000,Diesel,First,13.5,2477.0,175.56,1500000.0
16,Honda,Honda Amaze S,2016,58950,Diesel,First,25.8,1498.0,98.6,540000.0
17,Maruti,Maruti Swift DDiS,2017,25000,Diesel,First,28.4,1248.0,74.0,599000.0
18,Renault,Renault Duster 85PS,2014,77469,Diesel,First,20.45,1461.0,83.8,634000.0
